id,curso,idade,ingresso,ano_ingresso,modelo_ensino,infra_biblioteca,infra_lab_info,infra_lab_pesq,infra_internet_dispon,infra_internet_wifi,infra_index,infra_index_100,acess_calcadas,acess_vias_edif,acess_rota,acess_sanit,acess_elev_rampa,acess_index,acess_index_100,empre_pensamento,empre_realizacao,empre_curiosidade,empre_planejamento,empre_apoio,empre_index,empre_index_100,projeto_empresa_junior,projeto_aiesec,projeto_enactus,projeto_iniciacao_cientifica,projeto_monitoria,engajamento_projetos,perm_amigos_as,perm_boas_oportunidades_de_coloca_o_no_mercado,perm_bons_as_professores_as,perm_fam_lia,perm_identifica_o_com_o_curso_escolhido,perm_localiza_o_da_institui_o_de_ensino_superior,perm_obten_o_do_diploma,perm_prest_gio_da_institui_o_de_ensino_superior,perm_qualidade_da_infraestrutura_da_institui_o_de_ensino_superior,perm_qualidade_do_ensino,evas_alto_indice_reprovacao,evas_custo_mensalidade,evas_emprego,evas_falta_professores,evas_greves,evas_indisp_tempo,evas_metodologia,evas_novas_oportunidades,evas_problemas_financeiros,evas_qualidade_infra,evas_qualidade_ensino,evas_didatica,evas_dificuldade_manter,evas_conciliar_horario,evas_falta_motivacao,evas_nao_ident_profissao,evas_casamento,evas_filhos,evas_nunca_deixaria,evas_nao_adaptacao_remoto,risco_evasao_raw,risco_evasao_score
118406039365,Engenharia de computação (DCN Engenharia),18,2023/1,2023,Apenas ensino presencial,4.0,4.0,,4.0,4.0,4.0,75.0,,,,,,,,5.0,5.0,4.0,5.0,5.0,4.8,95.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16.7
118405900646,Engenharia civil,20,2021/1,2021,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,5.0,,5.0,4.0,4.75,93.8,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118405409202,Administração,25,2018/2,2018,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,5.0,,5.0,4.0,4.75,93.8,,,,,,,,5.0,5.0,5.0,4.0,4.0,4.6,90.0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,33.3
118405238936,Administração,41,2020/2,2020,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,4.0,4.0,4.0,4.0,4.0,75.0,,,,,,,,4.0,4.0,4.0,4.0,5.0,4.2,80.0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
118405220017,Engenharia ambiental e sanitária,24,2018/1,2018,Remoto e presencial (em decorrência da pandemia de COVID-19),5.0,4.0,4.0,2.0,2.0,3.4,60.0,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118404941278,Letras português,29,2014/2,2014,Remoto e presencial (em decorrência da pandemia de COVID-19),,,,,,,,3.0,3.0,3.0,1.0,3.0,2.6,40.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118404818008,Letras linguística,23,2020/1,2020,Remoto e presencial (em decorrência da pandemia de COVID-19),3.0,3.0,3.0,4.0,4.0,3.4,60.0,,,,,,,,4.0,4.0,,,4.0,4.0,75.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,33.3
118404763035,Moda,19,2023/1,2023,Apenas ensino presencial,4.0,5.0,4.0,5.0,4.0,4.4,85.0,,,,,,,,4.0,5.0,5.0,4.0,5.0,4.6,90.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
118404764915,Sistemas de informação,20,2023/1,2023,Apenas ensino presencial,4.0,4.0,4.0,3.0,2.0,3.4,60.0,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.4,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,16.7
118404757515,Engenharia de materiais,24,2018/2,2018,Remoto e presencial (em decorrência da pandemia de COVID-19),4.0,4.0,4.0,3.0,3.0,3.6,65.0,,,,,,,,4.0,5.0,5.0,4.0,3.0,4.2,80.0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,16.7
